title,citation,location,taxonomic_scope,traits,included
Does metabolism constrain bird and mammal ranges and predict shifts in response to climate change?,"Buckley et al., 2018",Global,Mammals,"Mass, Diet, Life habit method, Activity cycle, hibernation/torpor",YES
The imprints left by historical contingency on marsupials' life-history traits,"Cassia-Silva & Sales, 2018",Australasia,Marsupials,"Litter size, gestation length, litters per year, weaning age, weaning mass, adult body mass",NO
PHYLACINE 1.2: The Phylogenetic Atlas of Mammal Macroecology,"Faurby et al., 2018",Global,Mammals,"Life habit method, mass, island endemicity, % diet plant, % diet vertebrates, % diet invertebrates",YES
An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation,"Gainsbury et al., 2018",Global,Mammals (no Sirenia and Cetacea),"Diet: animal, vertebrate mammal, bird, herpetile, fish, invertebrate, plant, seed, fruit, nectar, woody, herbaceous, other, trophic level, mammal eater, insectivore, frugivore, granivore, folivore",YES
Hibernation constrains brain size evolution in mammals,"Heldstab et al., 2018",Global,Mammals,"Brain mass, hibernation, diurnality, substrate use",YES
OpenMICE: an open spatial and temporal dataset of small mammals in south-central Italy based on owl pellet data,"Paniccia et al., 2018",Italy,Rodentia,"Small mammal occurrences, abundances, and functional traits (body mass, litter size, gestation time, longevity, gen length, fem sex maturity, body temp., metabolic rate)",NO
MADA: Malagasy Animal trait Data Archive,"Razafindratsima et al., 2018",Madagascar,Mammals,"Adult body mass, cranial capacity, diet breadth, diet type, trophic level, activity cycle, foraging stratum, habitat breadth, gestation length, litter size, inter-birth interval, home range, population density, social group size, maximum longevity",NO
TetraDENSITY: A database of population density estimates in terrestrial vertebrates,"Santini et al., 2018",Global,Mammals,Density,YES
Breakdown of brain-body allometry and the encephalization of birds and mammals,"Tsuboi et al., 2018",Global,Mammals,"Brain mass or volume, body mass",YES
The conservation value of human-modified landscapes for world's primates,"Galan-Acedo et al., 2019",Global,Primates,"Body mass, diet activity, habitat, home range, iucn population trend, locomotion, trophic guild",NO
IUCN,"IUCN, 2020",Global,Mammals,"Upper elevation limit, lower elevation limit, generation length, life habit method",YES
